# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
0040c340	CameraClearHookAndPose
0040c370	CameraUpdateTick
0040c380	CameraFromViewAngles
0040c430	CameraSnapToPathEye
0040c470	CameraHoldEyeTick	Steady-state body of CameraSnapToPathEye, reached by that function re-pointing g_camera_update_hook at itself+N. Writes only the eye, never the angles -- which is how the camera holds position while SelectCameraLookAtTarget swings the look-at.
0040c4c0	CameraPathWithImpulseShake
0040c770	CameraStepDeferredRailWithFrameExport
0040c790	CameraStepRailTick	Steady-state body of CameraStepDeferredRailWithFrameExport. Advances the stashed path frame, evaluates eye and target as independent channels, takes yaw from (eye - target) and forces pitch and roll to zero.
0040c8a0	CameraPlayStashedPath	The camera hook scene state (2,7) installs -- the second of the two that play a range EvtActionCamPlay40's `flags & 2` branch (FUN_00403490) stashed into g_stashed_path_frame/g_stashed_path_end_frame. It re-points g_camera_update_hook at itself, so it is both the installer and the steady body. **It increments before it evaluates**: `if (end < cur) goto tail; cur += 1; DAT_009C70BC = (float)cur; CamEvalPath7(...)`, and only then `g_cam_path_frames_left = end - cur` at the tail. So a stashed 581..660 draws 582..660 -- the start frame is stepped past and the end frame IS reached -- where CamAdvancePathFrame (FUN_004035E0), which drives the ordinary non-deferred play, publishes the cursor and increments after. CameraStepRailTick (FUN_0040C790) is the (2,6) twin and differs only in using <= where this uses <, so this one runs one frame past the end and that one stops on it. The browser port had modelled both as CamAdvancePathFrame and so lost the last frame of every deferred shot; stage 2 block 16's captor cue (path 75 frame 660) and its civilian's killed-script cue (frame 650) are both timed to that tail and neither could fire.
0040c9c0	CameraFollowPlayerMidpoint
0040d5b0	PushSceneFogColour	PushSceneFogColour() -- packs the scene light block's fog colour and pushes it to the device, every frame, from FUN_0040E730 (the scene draw):  SetFogColour((g_scene_fog_r << 8 | g_scene_fog_g) << 8 | g_scene_fog_b).  So the three components are ints 0..255 packed with alpha 0. They are the integer form of light-block channels 2, 3 and 4 -- the ones evt opcodes 0x20-0x27 write as floats 0..255. FUN_00460250 seeds them 255/0/0 alongside the mirrored float channel array at 0x009C89E4 + channel*0x10 (0=near, 1=far, 2/3/4=fog RGB as 255.0/0.0/0.0, 6/7/8=light RGB), which is what proves the channel numbering.
0040d9d0	EffectPoseNode	The per-frame transform of one effect node: MatrixTranslate from EffectFrameTranslations, then RotZ/RotY/RotX from EffectFrameRotations, indexed by the node's bone - 1. g_effect_interp_mode[effect] selects the rate: 0 is one key per frame, otherwise the animation runs at half rate and odd frames blend the two neighbouring keys (mode 2 slerping through matrices when any axis differs by more than 0x3000).
0040dd90	EffectDrawUnlit	Draws an animated effect through EffectDrawTree with AssetDrawSlot. The argument is a 4-int state block {effect id, motion id, frame, prev frame} living inside the owning object -- obj+0x324 for a class-0x41 prop.
0040ddc0	EffectDrawTree	Wraps the frame counter (to 0 at g_motion_play_length[motion]-1, and to the end when it goes negative) and then walks g_effect_trees[effect id]'s children with EffectDrawNode. The descriptor IS a node: same {u32 slot; s16 bone; u16 children; u32 child[]} struct, with slot 0 and bone 0 so the root itself never draws.
0040de50	EffectDrawNode	One effect node: push, EffectPoseNode, AssetDrawSlot(node->slot), recurse into the children, pop. A node with bone < 1 is a pure transform and draws nothing. Slot 0x10CE gets a random 0.27-0.37 scale each frame, which is how the smoke puffs vary.
0040dfa0	EffectDrawSceneLit	As EffectDrawUnlit but routes each part through SubmitSlotWithSceneLightArray instead of AssetDrawSlot. KindedPropUpdate picks this one for item set 4 and for scene 3.
0040dfd0	EffectDrawWithCapture	EffectDrawUnlit with two extras, and the entry point both class 0x44 selector 0 and FUN_00474120 use. EffectDrawWithCapture(state, capture_bone, slot_override): DAT_007C1789 = capture_bone + 1, so EffectDrawNode copies the matrix of the node whose bone equals capture_bone into state+0x14 (obj+0x338); DAT_007C178C = slot_override, and a value >= 0 makes every node draw THAT slot instead of its own. EffectDrawUnlit passes 0xFF and -1 for the two, which is why it captures nothing. DAT_007C1788 = 0 either way, so the parts are unlit.
0040e040	EffectFrameTranslations	Address of one frame's translation array inside the motion buffer: g_motion_slots[motion].base + 4 + frame * align4(bones * 0x12 - 0xF), then bone * 0xC for three floats. The effect's animation is an ordinary motion; only the node tree is its own.
0040e070	EffectFrameRotations	Address of one frame's rotation array, the same stride as EffectFrameTranslations offset past the translations; bone * 6 for three BAMS shorts in X, Y, Z order.
0040e0b0	BuildSceneLightDirection	BuildSceneLightDirection(pitch_bams, yaw_bams, world_out, view_out)  Turns the scene light block's +0x18 / +0x1C angle pair into a direction vector, in both world and view space:      v = (0, 0, 1)     MatrixStackPush; MatrixLoadIdentity();     MatrixRotateY(yaw); MatrixRotateX(pitch);     TransformVector(v) -> world_out            ; block +0x00     MultiplyByViewMatrix(g_view[player]);     TransformVector(v) -> view_out             ; block +0x0C     MatrixStackPop  MatrixRotateY/X PRE-multiply (M <- R x M) and the vector transform is D3D's row-vector form, so pitch is applied first and yaw second. Working it through with the matrices as those rotators actually store them:      dir = ( cos(pitch) * sin(yaw), -sin(pitch), cos(pitch) * cos(yaw) )  The caller (UpdateSceneViewAndLight, 0x00401F40) passes **view_out** to SetRenderLightDirection, which negates it into g_render_light_dir_*. So the D3DLIGHT7 direction -- the direction light travels -- is -dir, and `dir` itself is the direction the light comes FROM.  Both angles are BAMS: MatrixRotateX/Y multiply by 9.58738e-05 = 2*pi/65536.  Written by evt opcodes 0x18 (set) and 0x17 (slerp over N frames).
0040e840	ClearPendingAppState	g_app_state_pending = -1. Drops a pending state change without committing it. Called by ResetGameOnStart's teardown path (FUN_0040A920 -> 0x0040E840).
0040e850	RequestAppState	g_app_state_pending = the argument. Does not change g_app_state; CommitAppState applies it at the end of the frame. Fourteen call sites, requesting 3, 4, 6, 7, 0x0C and 0x0F. Start-with-a-credit (FUN_00414FC0) requests 6, which is what makes 6 the in-play state.
0040e860	CommitAppState	The only writer of g_app_state, run at the end of the per-frame tick FUN_0040E730. Does nothing while g_app_state_pending is negative. Otherwise it tears the old screen down (AssetDrainAllJobs when the pending state is 0x0E, three other teardowns otherwise), sets DAT_009C71C4 = (pending == 5) -- the attract flag -- clears the per-player counters, then g_app_state = pending and g_app_state_pending = -1. The line that fixes what 6 and 7 mean: if (pending < 6 || pending > 7) g_player_state = 9 for both players, so 6 and 7 are the ONLY states that leave a live player alone.
0040e960	AppStateAdvanceByTable	RequestAppState(g_app_state_next_table[g_wCaptionMode][g_app_state]) -- the scripted advance out of a screen that has finished. Callers: RunAttractDemo when the demo scene runs out while g_app_state is 5, and the name-entry screen FUN_00481400 when g_GameMode is not 3.
00410440	ActorBuildSkinnedModel	Builds the skeletal model record embedded at obj+0x194. Writes model+0x116C (the character size, and the factor SkeletonApplyRootMotion scales its root delta by) from the CHARACTER TYPE alone -- MOVSX EAX,[ESI+0x60]; ADD EAX,-0x1e; CMP EAX,0x1a; JA to the 1.0 arm, then the index byte table at 0x00410568 selecting 0x3f19999a / 0x3f333333 / 0x3f666666. And writes model+0x64 = 3 unconditionally at 0x004104C5 -- MOV dword ptr [ESI + 0x64], 0x3, bytes c7466403000000 -- so bit 1, the one and only gate SkeletonApplyRootMotion tests before it moves the actor, is SET on every skeletal actor in the game. Classes 0x30 and 0x31 never change it; class 0x10's script does, per block. [proved]
00410590	SkeletonBuildAndPose	reads the motion frame, sets the object root pose, then walks the node tree
004107e0	SkeletonWalkNode	per node: writes the bone's DRAW RECORD at obj+0x20C + bone*0x90 and then Translate(bone offset); RotZ; RotY; RotX from frame+0x0C+bone*6, recursing into the children. The record fields it writes each frame are +0x00 the asset slot, +0x74 = 0x21, +0x78 the HIT-SPHERE RADIUS and +0x7C..+0x84 its centre, from PTR_DAT_004D032C[char_type][bone-1] with the radius scaled by obj+0x1300 -- but ONLY when that table entry's own slot equals the slot just written. Otherwise all four go to zero. So a bone whose drawn model has been swapped away from the one the table names -- a gore variant, or a hand that has thrown its weapon -- loses its hit sphere and cannot be shot, without anything else asking for it. ZombieThrowHandWeapon (0045A2B2/0045A2DB) and SpawnThrownWeapon (00450540) write that same +0x78 to zero outright as the weapon leaves, which is the same statement made immediately.
00410920	SkeletonPoseRootFrame	Per-frame root pose: reads the current motion frame, or blends two of them by DAT_007C1C24 when the cross-fade flag is set (obj+0x37 & 0x21), and applies the root translation and rotation.
00410c50	SkeletonApplyRootMotion	Converts the frame-to-frame delta of the motion root into world movement when obj+0x64 bit 1 is set, rotating it by the actor's own orientation, then calls the per-frame pose hook at motion block +0x115C.
00411050	SkeletonDrawNodeSlot	draws record[bone].slot; record base obj+0x20C, stride 0x90
00411090	DrawSkinnedModelAndShadow	internally push/pop balanced
004110d0	SkeletonDrawWalk	The body of DrawSkinnedModelAndShadow: parks the track and bone records in g_motion_track/g_motion_bone_records, walks g_character_skeletons[type] emitting each node, then runs the actor's attachment list. The part loop at the end is the DRAW GATE: for i in 0..model+0x3C, it emits part i only when the byte at model+0x40 + i*8 + 1 is non-zero -- the same byte ActorSetPartVisibility (FUN_00409D10) writes for every part at once, and the one ZombieStateAwaitCivilianOrder (FUN_0045BAD0) clears for part 0 alone to hold a captor off screen. The byte at +0 of the same record is a lazily-filled 'this part has a model' cache: zero asks FUN_00419520 and, if that answers, latches 1.
004111a0	SkeletonAdvancePlayCursor	The motion sampler's clock arm. model[2] = model[0] % (g_motion_play_length[model[8]] + 1) -- the play cursor, which WRAPS at play_length + 1 and so takes every value from 0 to the play length inclusive; model[6] = model[2] / 2 is the authored frame, and an odd cursor blends the two neighbours on tracks 1 and 2, which is the 60 Hz over 30 Hz interpolation. Sets model+0x5D when the cursor has reached the play length and model+0x5E when it has reached play_length - 1. Nothing here advances model[0]: the owning class does, and a class holds a clip on its last frame by simply not incrementing it.
004114c0	SkeletonEmitNode	Emits one node of the skeleton and, when its bone index matches the tracked one, records that node's **world position** into obj+0x100/104/108 -- which is what SelectCameraLookAtTarget aims the camera at, never obj+0x40. The bone is 1 for an ordinary humanoid (character types 0..0x14), 2 when obj+0x136C bit 0x10000000 is set, and 9 for body condition 5 or the g_camera_block_target case; obj+0x10C..114 gets the same point in the other space. A further -3.5 is applied to the height in the two-player attacker case. Recurses into the node's children.
00411930	ActorSetMotion	Start a clip at frame zero with **no cross-fade**: writes the motion id to track+0x20, zeroes the frame counter (track+0x00), the play cursor (track+0x08), track+0x10 and track+0x18, and clears the two fade bytes at +0x36/+0x37, so nothing of the outgoing clip is left to blend from. ActorSetMotionBlended (FUN_004119A0) is the fading half of the pair; this one is for the scripted cues that are meant to cut, and ZombieStateMotionCue21 is one of them.
004119a0	ActorSetMotionBlended	Start a motion on the track with a **cross-fade**: the fourth argument is the fade length in frames, stored at track+0x30 as length+1, alongside the start frame at +0x08 and its half at +0x18. Every class-0x30 state passes one -- 5 for ZombieStateApproach's walk and ZombieStateStrike's swing, 10 for the attack run, the hold's idle, ZombieStateBackOff's retreat, the lunge and ZombieStateWaitTurn. ActorSetMotion (FUN_00411930) is the one that does not fade, and it is used for the scripted cues that are meant to cut.
004119f0	MotionStartOnTrack	Start a motion on one of the actor's two motion tracks; the track index is the last argument (0 the looping motion, 1 the one-shot the hit reaction uses).
00411b20	MotionCrossFadeAlt	MotionCrossFadeTo with a different flag pair (block+0x38 |= 9); used by the alternate hit reaction indexed by the last-hit zone.
00411b70	MotionCrossFadeTo	Start a motion on track 1 cross-fading from what is playing. block+0x33 = fade + 1 -- ActorPlayHitReaction passes 20 when the hit severed something and 10 otherwise.
004122e0	SkeletonNodeDrawSuppressed	Per-node veto, consulted by SkeletonEmitNode before it calls the node draw hook at obj+0x1158. Read from the disassembly rather than the decompiler's switch: for character type 0x17 it is CMP word[node+0x14],0x10 / SETGE, so every bone from 16 up is suppressed -- exactly the eight BuildCharacterPartSubparts replaces. Otherwise it suppresses BONE 9 alone, and only when the slot bone 9 is CURRENTLY DRAWING -- g_motion_bone_records[9].slot, so a swap would change the answer -- is one of ten literals: 0xE3C 0xE4D 0xEA2 0xEB6 0xEC6 0xED6 0xEF6 0xF06 0xF83 0x15B0, enumerated out of the jump table at 0x00412360 and its byte map at 0x00412368. Those ten are exactly the ten character types whose g_pCharacterExtraParts part 1 draws that same slot, 1:1 with no strays either way: 0x21 0x22 0x26 0x28 0x29 0x2A 0x2C 0x2D 0x35 0x3B. The rule is: when a part is drawn soft, do not also draw it rigid. It never ADDS a draw.
00412440	ActorBindPartList	Bind the attachment list at obj+0x1170: for every id in the s16[] up to the terminating negative, look up g_actor_attachment_table[id] = {s32 bone; s32 slot}. An id BELOW 0x24 overwrites bone_records[bone].slot -- the bone draws that model instead of the one its skeleton node names, which is how a civilian gets one of the 60 interchangeable hito_kao_* faces. An id of 0x12 or above also asks the asset system to load the slot. Ids of 0x24 and above are drawn as extra models by ActorDrawAttachedParts and are not bound here. CivilianInit calls this straight after writing the list pointer from the spawn tail's +0x08.
004124b0	ActorReleasePartList	The undo of ActorBindPartList's loads: walks the same s16[] and releases every slot whose id is 0x12 or above. It does not put the overwritten bone slots back -- the object is being torn down.
004124f0	ActorDrawAttachedParts	Draw the actor's attachment list: the s16[] at obj+0x1170, terminated by a negative. SkeletonDrawWalk calls this last, through the hook at obj+0x1174, so attachments are drawn after every skeleton node. Ids above 0x23 index g_actor_attachment_table; the record is {s32 bone; s32 slot} and the draw is MatrixStackSetTopFromArray(bone_records[bone].matrix at +0x28) then AssetDrawSlot(slot) -- an EXTRA model on a bone, not a replacement. In Original Mode (g_GameMode == 1) with DAT_009C88AC set, bone 2 is scaled 1.5x in X and Z and bones 5/8/12/15 by 2.0x. Ids 0x23 and below are handled by ActorBindPartList at build time instead, which overwrites the bone's own drawn slot. Every class-0x10 civilian's hair, hat, bag and shoes come through here: 52 of the 65 class-0x10 spawns in the shipped evts carry a list.
00412620	ActorDrawAttachedPartsLit	ActorDrawAttachedParts submitting through the scene light array instead of AssetDrawSlot. CivilianInit installs it at obj+0x1174 in place of the plain one when g_scene_light_array (0x009A2BB4) is non-null, and raises obj+0x38 bit 8 at the same time. Same list, same records, same 1.5x/2.0x Original Mode scales.
00412c10	MotionJobOpenFile	motion job sub-step 0: builds "mot\%s", CreateFileA, allocates size+0x20
00412d40	MotionJobReadFile	sub-step 1: one ReadFile of the whole bank -- mot/ is NOT compressed
00412d90	MotionJobBindOffsets	sub-step 2: the entire parse -- one int32 offset per motion id in the bank
00412e20	AssetJobMotionLoad	asset job kind 8; dispatches the sub-step at job+0x0C
00412e40	AssetJobMotionFree	asset job kind 9
00412ef0	AssetJobMotionSync	asset job kind 10
00412f50	MotionFrameAddress	((bones*6+15)&~3)*frame + 4 + slot.base; bones from the CHARACTER type
00413120	EvtRelocatePointers
004132d0	DrawBackdropDome	DrawBackdropDome -- the game's sky.  Ghidra had left this block undefined, so it appeared in no xref listing by name. Selected by evt opcode 0x1B (preset, DAT_009A2C34) and gated by 0x1C (mode, DAT_009CA090: 0 off, 2 drawn but frozen, else drawn and animating).  Preset table at g_backdrop_preset_table (0x00579968), 12 x 16 bytes:      +0x00  s16  slot_a   the dome that is drawn     +0x02  s16  slot_b   a second slot, used by the 8/10/11 variant paths     +0x04  f32  dy       Y offset from the camera, 0 .. -3000     +0x08  s32  spin     BAMS added to the angle every frame     +0x0C  s32  angle0   BAMS the angle resets to when the preset changes  Main path:      esi = &g_camera_pose[g_camera_player];     /* 0x009A60C0 + player*0x69 */     if (preset != DAT_007C2118) {              /* preset changed */         state->angle = table[preset].angle0;     }     if (backdrop_mode == 0) return;      MatrixStackPush(0);     MatrixTranslate(esi->x, esi->y + table[preset].dy, esi->z);     if (backdrop_mode != 2) state->angle += table[preset].spin;     if (preset == 5) { MatrixRotateZ(0x8000); MatrixRotateY(-angle); }     else               MatrixRotateY(angle);     MatrixScale(1.2f, 1.2f, -1.2f);     AssetDrawSlot(table[preset].slot_a);  TWO DETAILS THAT MATTER:    * It follows the camera in ALL THREE AXES, not just horizontally, so the     dome can never be approached.   * The Z SCALE IS NEGATIVE. The dome is turned inside out -- it is modelled     to be seen from within.  Presets 8, 10 and 11 branch to separate paths at 0x004133FB / 0x004133F3 / 0x00413441; those also call FUN_00413560, which scrolls texture V by -0.005/frame and wraps at -2.995.  The call at 0x004133D3 is to FUN_0041EBB0, the empty stub -- a dead call.  Every dome lives in st1_1, etc_1 or st5_01b regardless of which stage uses it; the sky is shared geometry. No region draws these slots, so the script pulls them in with opcode 0x50 like any other prop.  See docs/formats/evt.md.
004136a0	DrawRainParticles	DrawRainParticles -- evt opcode 0x1D's effect, gated on DAT_009C8E50 == 1.      SetDrawLayerNibble(0xE);     for (p = g_rain_particles; p < 0x007C2114; p += 3 floats) {         p.y -= 2.0;         if (p.y <= -7.0) {                    /* respawn */             p.x = rand() % 0x14 - 10.0;       /* [-10,  9] */             p.y = rand() % 0x32 - 25.0;       /* [-25, 24] */             p.z = rand() % 0x19 - 35.0;       /* [-35,-11] */         }         world = RotY(g_camera_pose[player].yaw) * p               + g_camera_pose[player].eye;         yaw = angle_of(world - eye, with dy passed as a LITERAL 0);         Translate(world); RotateY(yaw); RotateZ(0x100);         Scale(1.5, 3.5, 1.0);         AssetDrawSlotAlpha(0x53, 0.5);     }     SetDrawLayerNibble(8);                    /* back to the default layer */  THE COUNT IS NOT STORED. The particle array runs 0x007C1EB8 .. 0x007C2114 at 12 bytes each, which is 50. The loop bound is the end of the array.  Three details that are not what a from-scratch particle system would do:    * The volume is rotated by the camera's YAW ONLY before the eye is added,     so it follows where the camera looks horizontally while staying     world-vertical. Rain never tilts when the camera pitches.   * The spawn box is 20 x 50 x 25 sitting IN FRONT of the camera (z from -35     to -11), so drops are only ever created ahead of the view.   * The per-drop yaw is computed with the vertical component passed as a     literal 0, so a drop's facing does not change as it falls.  RotZ(0x100) is 1.40625 degrees -- the streaks are very slightly off vertical.  Asset slot 0x53 is stage1.bin[0]. No region draws it and no asset opcode loads it: the routine names the slot as a literal, so anything reconstructing the scene must pull it in explicitly or the effect has no model.  The call at 0x00413704 is FUN_0041EBB0, the empty stub -- a dead call, the same one DrawBackdropDome makes.  [measured] Only stage 1 ever turns rain on: 18 `enable_rain 1` in st1evtbl, and every other stage's uses are all 0.  See docs/formats/evt.md.
00413970	HudDrawShutterState	Draw the HUD letterbox shutter and drive the firing gate. evt opcode 0x1F selects the state in DAT_009CA0F4.  Geometry: the bars are asset 0x93E, which is common.bin model 129 -- a single four-vertex quad spanning x -0.515..0.515, y -0.05..0.05. MatrixTranslate positions its ORIGIN, so a bar placed at y = 0.35 occupies 0.30..0.40. At the game's 41.100 degree vertical FOV the frustum half-height at |z| = 1 is tan(20.55 deg) = 0.37477, so a closed shutter's inner edge sits at 80 % of the half-height: a 10 % band top and bottom. The quad's 0.515 half-width just covers the 0.4997 half-width of a 4:3 frustum, i.e. the artwork is cut for a 4:3 screen exactly.  States (DAT_009CA0F4):   0  draw closed at +/-0.35, -> 4, gate ON   1  opening: counter 0 -> 0x28, y = 0.35 + counter*0.0025, -> 2, gate ON   2  nothing drawn -- fully open (y = 0.45 clears the frame at counter 30)   3  closing: counter 0x28 -> 0; at 0 draw closed, -> 4, gate OFF   4  draw closed unless (DAT_009A5900 & 0x30)   5  draw closed, -> 4, gate OFF   6  gate ON, -> 2   7  restore the previous state (DAT_009C8E9C)   8  one bar at (0,0,-1) scaled (1,8,1) -- half-height 0.4, a full blackout  The gate is g_nFiringGate (0x009C8E00). It is not "the shutter is open": states 0 and 5 both draw a closed shutter and set it 1 and 0 respectively. It is also what gates the Start poll for a cutscene skip -- see g_nEvtSkippableRegion.
00413e90	PlayerUpdateInPlay	One player's whole per-frame update while a stage is running. Ghidra had not made a function here at all -- the region 0x00413DDF..0x00413FAF is orphaned instructions after FUN_00413DB0, which is one of four sibling handlers that hand the player task to the next state through FUN_00414770(obj, n). Body, in order: stash the per-player word at 0x009A5CD8 into DAT_009A26A0 and call the per-player hook at 0x009A5CE0 + player*0x130; FUN_00415100; force g_player_lives to 1 while g_app_state is 5 (the attract demo), then clamp it at 0; with lives left, run the trigger -- FUN_00414B90 in g_GameMode 1 (Original), PlayerFireAndReloadUpdate otherwise; draw the crosshair HudDrawCrosshair; FUN_00416B00 unless g_GameMode is 2 with DAT_009C72F2 set; then, outside app states 9 and 5, either the dead branch (arcade sets DAT_009A2234, otherwise g_players_in_play-- and FUN_00415080(4,1,obj)) or the HUD branch -- `if (g_nFiringGate != 0) HudDrawAmmoAndReloadPrompt(obj)`, then FUN_004174A0 and a copy of lives into +0x08 of the per-player block. Ends with FUN_00417300, FUN_00414600 when FUN_00413280 says gameplay is live, and FUN_00413FB0. The g_nFiringGate test at 0x00413F63 is the proof that the ammo readout is hidden while the shutter's gate is down, the way HudDrawCrosshair's own test hides the crosshair.
00414940	PlayerFireAndReloadUpdate	One player's trigger, per frame; PlayerUpdateInPlay calls it in every g_GameMode but 1, which takes FUN_00414B90 instead. With ammo left and the firing gate open it decrements g_player_ammo, raises g_nPlayerFired, counts g_player_shot_count, builds the shot ray from the crosshair through BuildShotRay, calls PlayerShotEffectSpawn and plays g_gunshot_sound_ids[player]. With the magazine empty, or on the reload button, it calls PlayerRefillMagazine. The magazine it compares against is the literal 6 in arcade and g_player_magazine_size in Original Mode.  THE SHAPE OF THE GATE, because it decides what a blocked trigger does: the body is  if (trigger_latch) { if (no ammo) { auto-refill } else if (g_nFiringGate != 0) { the fire block } }  so a trigger pulled while g_nFiringGate is 0 does NOTHING -- it returns before the ammo decrement, before the shot counter, before BuildShotRay and before PlayerShotEffectSpawn, so no muzzle flash, no tracer and no gunshot are spawned either. The reload paths are outside the gate and still run; only PlayerRefillMagazine's sound is gated. The ammo decrement has three further exemptions inside the gate: DAT_009C8E98 == 5 (the attract demo), DAT_009C9FD9[player*0x7c] set, and an Original Mode magazine size of -1 (unlimited); the shot still fires in all three. The tail is the other half of the gate: while g_nFiringGate is 0 and g_nEvtSkippableRegion is set, the same button sets g_nSkipRequested instead (0x00414AE2).
00414b30	PlayerRefillMagazine	Refill: g_player_ammo = 6, or g_player_magazine_size when g_GameMode is 1 and that byte is not -1. Clears the empty latch at 0x009A5C7E and plays 0x3E16A9 while the firing gate is open.
00414b90	PlayerFireOriginalModeWeapon	The g_GameMode == 1 twin of PlayerFireAndReloadUpdate; 0x00413EE5 reads g_GameMode, decrements it and calls this one on zero, the arcade one otherwise. Same trigger shape -- decrement g_player_ammo, count the shot, BuildShotRay, PlayerShotEffectSpawn -- plus two things the arcade arm has not: an auto-fire latch driven by the per-player bytes at 0x009A2251/0x009A2252/0x009A2253 out of the 8-byte rows at 0x00579EDC, and a recoil spread that offsets the crosshair by rand()%%0x40 across and rand()%%0x30 down before the ray is built, taken only while +0x07 of the Original Mode block is 1 and the burst counter is not 2. The gunshot is g_original_weapon_gunshot_ids[g_original_weapon_sound_kind] when that entry is non-zero and g_gunshot_sound_ids[player] when it is zero. Reloading goes to PlayerReloadOriginalModeWeapon, not PlayerRefillMagazine.
00414e40	PlayerReloadOriginalModeWeapon	Original Mode's reload, called by PlayerFireOriginalModeWeapon in place of PlayerRefillMagazine. Refuses while +0x07 of the Original Mode block is 2 unless the weapon's own +0x1E is 1; otherwise calls FUN_00416420, sets the magazine to g_player_magazine_size and plays g_original_weapon_reload_ids[g_original_weapon_sound_kind], falling back to 0x3E16A9 COMMON\RELOAD1_44.WAV when that entry is zero -- both gated on g_nFiringGate, as PlayerRefillMagazine's own play is.
00414f40	SelectAttackablePlayer	Computes g_active_player from g_players_in_play: a count of 0 gives -1, nobody; 1 gives player 1 when the per-player state word at 0x009A5C62 is neither 5 nor 7 and player 0 otherwise; 2 gives 2, both, and also raises DAT_007C211C. TryClaimAttackSlot reads the answer when g_max_attackers is 1, and class 0x31 state 22 uses it to force a target after a failed claim.
00415300	PlayerTakeDamage	One life, -100 points, 0x5A frames of invulnerability, and _DAT_009A3794 -= 2, which UpdateDamageRank consumes -- being hit lowers the adaptive rank and makes the game easier. There is no variable damage against the player.
004153e0	CheckPlayerCanBeHit	Rejects a player index that is not 0 or 1, and rejects a hit while the player entity is in a state other than 1 or 4..5 during app state 6.
00415430	PlayerTakeDamageTimed	PlayerTakeDamage with an explicit invulnerability duration and an override that ignores the current one.
00415630	GrantExtraLife	+1 to g_player_lives, or 300 points instead when the player is already at the cap -- g_max_lives, or the per-player Boss Mode cap at 0x009A2245 + p*0x14.
004156c0	ScoreAddForPlayer
004159a0	PlacePlayerEntityFromViewPose
004169c0	HudDrawCrosshair	The crosshair sprite, one player, once a frame, from PlayerUpdateInPlay. Four conditions, all required: g_app_state == 6 (in play); the player is either holding a live gun (DAT_009A5D85[p*0x130] != 1 and DAT_009C8FD0[p*0x14] != 0) or in input mode 5 or 6 as FUN_0041E260 reports it; g_player_lives > 0; and g_nFiringGate != 0 (the read at 0x00416A65). So the crosshair is HIDDEN whenever the shutter's firing gate is down -- the same flag that makes the trigger do nothing. Position: modes 5/6 take it from FUN_0041E280, everything else from (g_crosshair_x + 320, 240 - g_crosshair_y), i.e. the 640x480 screen with the origin at the centre and y up. The sprite id is a s16 from the table at 0x00579F58 indexed by (DAT_009C9F60[p*0x7c] + player*4); the record at 0x009A5D44 + player*0x130 is handed to FUN_0041C630.
00416b00	PlayerShotEffectsThink	Draws and steps the three 6-record rings one player's shots leave, in draw layer 0xC. The muzzle flash (g_shot_flash_ring) runs 9 frames from g_muzzle_flash_slots[player] at scale 0.1 with a second draw from g_muzzle_smoke_slots[player] at 0.75 for weapon kind 4 and 0.5 otherwise, and is skipped entirely for kind 3. The tracer (g_shot_tracer_ring) advances by its velocity, billboards through MatrixClearRotation, spins +0x1000 BAMS a frame and draws g_muzzle_smoke_slots[player] + 2; it lives 60 frames, or dies on its second frame when g_shot_hit_something says the shot landed. The third ring is Original Mode weapon kind 4 only: 24 frames from slot 0xA6F at scale 0.05. Every record's frame counter steps whether or not it is live.
00416f70	PlayerShotEffectSpawn	Fills one slot of all three per-player effect rings, once per trigger pull, hit or miss. The muzzle point is the crosshair at camera-space z = -1: (g_crosshair_x / g_projection_distance_px, g_crosshair_y / g_projection_distance_px, -1.0), with the flash angles from FUN_004016B0 and then yaw += 0x8000 and pitch negated. The tracer takes that point through the camera matrix into world space and flies normalize(point - eye) * 20.0, or * 10.0 for Original Mode weapon kind 5, which also routes its draw down the object-path arm. The ring cursor g_shot_effect_cursor advances after the flash and the tracer are written and BEFORE the Original Mode third record, so that one lands in the NEXT slot.
